key,en,ru,uk
_tr_ui,"UI localization, button titles, tab headers, labels, etc.",,
ui_ok,OK,ОК,ОК
ui_pause,Pause,Пауза,Пауза
ui_retry,Retry,Еще Раз,Ще Раз
ui_continue,Continue,Продолжить,Продовжити
ui_key_none,No Key,Нет Клавиши,Немає Клавіши
ui_fullscreen,Full Screen,Полный Экран,Повний Екран
ui_particles,Enable Particles,Включить Частицы,Увімкнути Частинки
ui_disable_hints,Disable Hints,Отключить Подсказки,Вимкнути Підказки
ui_enable_hints,Enable Hints,Включить Подсказки,Увімкнути Підказки
ui_enable_screenshake,Enable Screenshake,Разрешить скриншок,Дозволити Скріншок 
ui_sound_settings,Sound,Звук,Звук
ui_language_settings,Language,Язык,Мова
ui_other_settings,Other,Другие,Інші
ui_key_bindings,Key Bindings,Управление,Управління
ui_master_volume,Master,Общий,Загальний
ui_music_volume,Music,Музыка,Музика
ui_sfx_volume,SFX,Эффекты,Ефекти
ui_speech_volume,Speech,Голос,Голос
ui_start_game,Start,Старт,Старт
ui_settings,Settings,Настройки,Налаштування
ui_tutorial,Tutorial,Как Играть,Як Грати
ui_credits,Credits,Благодарности,Подяки
ui_back_to_title,Back,Назад,Назад
ui_back,Back,Назад,Назад
ui_quit,Quit,Выход,Вихід
ui_lang_ru,RU (Русский),RU (Русский),RU (Русский)
ui_lang_en,EN (English),EN (English),EN (English)
ui_lang_uk,UA (Українська),UA (Українська),UA (Українська)
ui_week_label,Week #%d,Неделя №%d,Тиждень №%d
ui_monday,Monday,Понедельник,Понеділок
ui_tuesday,Tueday,Вторник,Вівторок
ui_wednesday,Wednesday,Среда,Середа
ui_thursday,Thursday,Четверг,Четвер
ui_friday,Friday,Пятница,П'ятниця
ui_fast_forward,Fast Forward,Быстрее,Скоріше
ui_bonus,+$%0.2f\n(%d%% productivity),+$%0.2f\n(%d%% продуктивность),+$%0.2f\n(%d%% продуктивність)
ui_productivity_tooltip,"Productivity (drops during most\nmeetings, restores in the free time)","Продуктивность (падает во время большинства\nвстреч, растет в свободное время)","Продуктивність (падає під час більшості\nзустрічей, зростає у вільний час)"
ui_skips_tooltip,Events skipped this week\n(productivity penalty),Пропуски на этой неделе\n(штраф к продуктивности),Пропуски на цьому тижні\n(штраф продуктивності)
